전직ID	중국명	한국명
305	强袭统帅	그랜드 마스터
306	皇家骑士	로열 나이트
307	突击骑士	스트라이크 마스터
351	独角兽骑士	유니콘 나이트
352	独角兽统帅	유니콘 마스터
353	黑骑士	다크 나이트
354	光武	광무
355	光武·改	사쿠라 전용 광무
356	光武	광무
357	光武·改	스미레 전용 광무
358	光武	광무
359	光武·改	아이리스 전용 광무
360	杀手兄弟	암살 형제
361	武态·盾	무기 형태 · 방패
362	武态·剑	무기 형태 · 검
363	法术骑士	위저드 나이트
364	法术骑士长	위저드 나이트 로드
365	法骑统帅	위저드 나이트 마스터
366	西卡战巫	시카의 전투무녀
367	西卡圣女	시카의 성녀
369	机械骑士	머신 나이트
370	机械统帅	휠 제네럴
371	征伐骑士	토벌의 기사
372	征伐骑士王	토벌의 기사왕
374	坦克兵	전차병
375	高级坦克兵	고급 전차병
376	机械骁骑	메카닉 나이트
378	灵骑士	영의 기사
379	祖灵骑兵	선조의 기병
380	圣灵骁骑	성령 기사
381	野性战骑	야성의 기병
382	荒野骑将	황야의 기병 장교
383	夜骑士	밤의 기사
384	守夜人	야경꾼
385	永夜之誓	영원한 밤의 맹세
386	地火龙骑	불의 용기사
387	狱渊统帅	지옥의 사령관
388	寒渊巡骑	빙하의 순찰 기사
389	凌踏的冰爪	침략의 서리 발톱
391	铁血骁骑	철혈 기사
392	狂战统帅	광전 사령관
393	绝锋影骑	그림자 기사의 칼끝
394	敛命死神	영혼 수확자
395	烈火先锋	화염의 선봉
396	焰锋统帅	화염의 통솔자
397	孤刃骑影	고독한 기사
398	破阵骁将	파진 전사
401	鹰骑士	호크 나이트
402	飞马骑士	페가수스 나이트
403	龙骑士	드래곤 나이트
404	圣天马将军	페가수스 로드
405	龙骑统帅	드래곤 마스터
406	圣天马统帅	페가수스 마스터
407	特工	호문클루스 OZ74
408	帝国密使	제국 첩보원
409	钢翼战士	강익 전사
410	钢翼勇士	아이언 엔젤
411	翠晶统帅	비취 수정 기사단장
412	圣天马星骑	홀리 페가수스 나이트
413	咒术使	어둠의 주술사
415	邪心龙使	사악한 용술사
416	魔翼斗将	검은 날개의 투장
417	锋翼统帅	아이언윙 마스터
418	龙骑士姬	용기사 공주
419	驭龙骑士	드래곤 기사
420	蔽空裂翼	하늘을 덮는 날개
421	堕临之灾厄	타락의 재앙
422	星虹冀羽	무지개 페가수스의 깃털
423	凛空皓翼	차가운 하늘의 밝은 날개
424	寒空掠影	냉혹한 섀도우
425	御空的霜翼	하늘을 가르는 서리 날개
427	逆途之影	역행의 그림자
428	终末之誓	종말의 맹세
429	反叛者	반역자
430	承袭之羽	계승의 깃털
431	凛空黯翼	암흑의 비상
432	赤曜狂龙	적요의 광룡
433	赤曜征服者	적요의 정복자
434	深林访客	깊은 숲의 방문객
435	天狗道修者	텐구도 수련자
436	缭乱的天狗姬	혼란의 텐구공주
438	执剑者	검 계승자
439	忠誓之羽	맹세의 날개
440	灿金辉翼	빛나는 금빛 날개
441	漆黑之影	칠흑의 그림자
442	罪渊黯翼	죄악의 검은 날개
444	宇宙骑士	한섭 미실장
445	救世孤星	한섭 미실장
446	驭虹之翼	한섭 미실장
447	灿虹之星	한섭 미실장
448	啼眼末裔	한섭 미실장
449	引魂使者	한섭 미실장
450	渡魂天翼	한섭 미실장
451	八部众神将	한섭 미실장
452	迦楼罗王	한섭 미실장
501	海盗	파이러트
502	海骑士	서펜트 나이트
503	海骑统帅	서펜트 마스터
504	海斗士	마린 파이터
505	海斗统帅	마린 마스터
506	水手	선원
507	民政官	민정관
508	行政官	행정관
509	执政官	집정관
510	海畔歌者	바닷가의 가수
511	哀泪颂唱者	눈물의 찬송자
512	深海的风铃	심해의 풍경
513	人鱼少女	인어 소녀
514	幻逝谜伶	환상의 배우
515	辉光领航喵	빛의 항해묘
516	穹海纵横王	바다의 제왕
517	踏浪斗士	파도 위 투사
518	驭潮将星	파도의 지배자
519	骁浪者	한섭 미실장
520	海潮之守	한섭 미실장
521	海平之望	한섭 미실장
601	射手	아처
602	狙击手	스나이퍼
603	弓骑士	보우 나이트
604	游侠	레인저
605	弓骑统帅	보우 마스터
606	骑射手	캐벌리 아처
607	帝国贵族	제국 귀족
608	乐者	연주가
609	帝国皇子	제국 왕자
610	吟游诗人	음유시인
611	射手	아처
612	狼骑士	울프 나이트
613	狼骑统帅	울프 마스터
614	复仇者	어벤져
615	破灭之翼	파멸의 날개
616	弓将	궁무장
617	空之弓将	천공의 궁무장
618	天空神	천공신
619	铳击士	머스킷
620	铳击队长	캡틴 거너
621	铳击统帅	건 커맨더
623	候补军官	장교 후보생
624	深蓝魔女	푸른 마녀
625	真深蓝魔女	결전의 푸른 마녀
626	新义勇兵	신입 의용병
627	侦察兵	정찰병
628	侦察猎兵	정찰엽병
629	突击兵	돌격병
630	突击猎兵	돌격엽병
631	支援兵	지원병
632	支援猎兵	지원엽병
634	狙击猎兵	저격엽병
635	技术官	기술 교관
636	机工士	메카니션
637	机工统帅	메카 마스터
638	科技铳士	테크니컬 슈터
639	妖精少女	엘프 소녀
640	歌巫女	가무녀
641	圣印歌巫女	성인가의 무녀
642	精灵弓手	엘프 궁수
643	龙翼弓奏者	용익궁 연주자
644	女王特使	여왕 특사
645	妖精之望	엘프의 희망
646	风舞者	폭풍의 무희
647	狂风之弦	광풍의 활
648	风暴主宰	폭풍의 지배자
649	商会千金	상회 아가씨
650	干练的能人	유능한 일꾼
651	大商人才媛	거상의 재녀
701	魔术师	메이지
702	大魔法师	아크 메이지
703	召唤师	서모너
704	巫师	위저드
705	女王	퀸
706	黑暗公主	다크 프린세스
707	隐士	허미트
708	黑暗统帅	다크 마스터
709	创造家	크리에이터
710	发明家	발명가
711	魔法容器	매직 소울
712	魔能核心	매직 코어
713	魔导士	마도사
714	魔导元帅	마도 원수
715	科学家	사이언티스트
716	科学狂人	매드 사이언티스트
717	蔷薇使者	식물의 사역
718	魔蔷薇之棘	마계의 장미
719	炎晶魔导师	화염수정 마법사
720	西卡侍女	시카의 시녀
721	西卡通灵者	시카의 샤먼
722	西卡招魂师	시카의 초혼사
723	大精灵	하이엘프
724	精灵使	정령술사
725	高等妖精	하이 엘프
726	女仆长	메이드장
727	皇家女仆	로열 메이드
728	缚灵师	소울 바인더
729	魔法裁缝	마법의 재봉사
730	织魔师	마법 재봉사
731	帝国宰相	제국 재상
732	不死者	불사신
733	巅峰不死者	초즌 오브 언데드
734	水晶魔使	수정마도사
735	水晶女皇	수정 여왕
736	火焰使	화염술사
737	炎晶使徒	화염 수정의 사도
738	秘术师	비술사
739	光之子	빛의 아이
740	涟漪辉光	빛의 물결
741	裁决威光	여신의 심판
742	暗谋法师	바이스 메이지
743	裂心法师	디스페어 메이지
745	玛娜术士	마나술사
746	玛娜导师	마나의 스승
747	玉蟾先生	옥섬 선생
748	竹隐方士	대나무 선인
749	月隐谪仙	달의 선인
750	探求者	탐구자
751	禁忌预视者	금기의 선지자
752	人工智能	인공지능
753	灵能傀儡	영능력 꼭두각시
754	灵能破坏者	영능력 파괴자
755	导力操纵者	도력 계승자
756	导力传人	도력 조종자
757	学生	학생
758	次元行者	차원 여행자
759	次元术师	차원술사
760	异维法皇	이차원의 대주교
761	研习者	연구자
762	求道者	구도자
763	致真者	진실을 깨우친 자
764	观测者	관찰자
765	行吟歌者	방랑 가수
766	全视者	전지자
767	破龙魔导士	용멸 마도사
768	精灵魔导士	정령 마도사
770	龙炎咒师	용염 주술사
771	赤冕法皇	붉은 관의 법황
772	炼金士	연금술사
773	炼金学者	연금술 학자
774	定律魔女	법칙의 마녀
775	塑者	창조물
776	审判执使	심판의 집사
777	裁决之镰	심판의 낫
778	咒法学者	주문 학파의 학자
779	咒法术师	주문 술사
780	唤雷祈者	번개 소환 기도사
781	圣雷召现使	신성한 번개 소환사
782	定序者	질서 확립자
783	永序之誓	영원한 서약
784	萌芽之灵	피어나는 영혼
785	元素学者	원소 학자
786	元素召灵使	원소 소환사
787	里溯源学者	인오리진 학자
788	深海魔法师	심해의 마법사
789	深海复仇者	심해의 복수자
790	创梦者	꿈을 창조하는 자
791	遂梦之誓	꿈을 이루는 서약
792	公会新人	길드 신입
793	星灵魔导士	성령 마도사
794	星灵衣之主	스타드레스의 주인
795	灾厄之源	재앙의 근원
796	逆命之蝶	운명을 거스르는 나비
797	庇灵之誓言	수호령의 서약
801	修士	클레릭
802	修女	시스터
803	主教	주교
804	圣骑士	팔라딘
805	圣徒	마터
806	司祭	프리스트
807	圣女	세인트
808	神使	오라클
809	圣骑统帅	템플러
810	圣者	세인트
811	先知	프로핏
812	女武神	발키리
813	公主	프린세스
814	圣女骑士	세인트 나이트
815	神官骑士	홀리 나이트
816	传令官	헤럴드
817	战修女	워 프리스티스
818	王女	프린세스
819	皇家特使	로열 엔보이
820	利贝尔公主	리벨 공주
821	利贝尔女王	리벨 여왕
822	树语者	클레릭
823	木贤者	아바탈
824	学者	학자
825	智士	책사
826	军师	군사
827	千金小姐	백작의 딸
828	梦幻之吻	초능력 소녀
829	圣剑精灵	성검의 정령
830	圣剑公主	성검의 공주
831	灵能者	영능력 소년
832	灵界侦探	영계탐정
833	使徒	사도
834	黑色圣徒	다크 필그림
835	影依圣女	다크 세인트
836	银之启动者	은의 기동자
837	钢之圣女	강철의 성녀
838	银骑士	실버 나이트
839	银骑统帅	백은의 발키리
840	大贤者	대현자
842	布道师	전도사
843	灵光圣女	영광의 성녀
844	圣职者	성직자
845	虔信者	신앙인
846	异端裁决者	인퀴지터
847	圣术士	홀리 메이지
848	赐圣僧侣	홀리 프리스트
849	血晶传人	핏빛 수정의 전승자
850	血晶支配者	핏빛 수정의 지배자
851	仁斗士	투사 료
852	烈火之仁	열화의 료
853	智影者	지장
854	天空之智	천공의 지
855	神女	수호신의 딸
856	净地末裔	카오스의 후예
857	大主教	대주교
859	超越者	초월자
860	创生者	창조자
861	万灵之初诞	모든 영혼의 시조
862	亲卫队长	친위대장
863	眼镜之主	안경이 본체
865	自然通联者	자연의 공명자
866	原初祈求者	태초의 기도사
867	方舟宰相	방주 재상
868	方舟总帅	방주 총사령관
869	修道者	수도사
870	灵宗长老	영종 장로
871	灵宗首席	영종의 지도자
872	唤灵斗者	환령 투사
873	驱灵尊者	소울마스터 존자
874	月咏师	달의 시인
875	月之贤人	달의 현인
876	舞者	무도가
877	战颂舞姬	전쟁의 무희
879	保卫者	수호자
880	守护者	수호자
881	圣护使徒	신성의 사도
882	先灵信徒	선령의 신도
883	触灵行者	소울 워커
884	慈悲者	자비로운 자
885	未世的祈颂	미래의 송가
886	彼端异客	낯선 손님
887	圣扉之钥	성문의 열쇠
888	辉剑使	빛의 검 사역자
889	圣辉使徒	성휘의 사도
890	辉耀的圣裁	성스러운 빛의 심판관
891	尘封者	먼지를 덮어쓴 자
892	贯时神珀	시간을 달리는 자
893	彼端异客	낯선 손님
894	命扉圣者	운명의 문 수호자
895	求索者	탐색자
896	格致者	탐구자
897	圣契者	신성 계약자
898	光辉圣徒	빛의 신성 사도
899	见习修女	견습 시스터
902	黑暗法师	다크 메이지
903	黑暗王子	다크 프린스
1002	死神	데스
1003	死神领主	데스 로드
1006	魔剑使者	데몬 스워드
1007	混沌化身	디스오더
1008	变化使	모프
1009	变化姬	쉐이프 시프터
1010	幻影魔姬	미라지 퀸
1011	血妖	블러드 밴시
1012	魔将	데몬 제네럴
1013	血伶人	블러드 마스터
1014	魔神	마신
1015	血魔姬	블러드 엠프레스
1016	茶会之主	다과회 주인
1017	歼灭天使	섬멸천사
1018	混血魔裔	마족의 후예
1019	魔界王选	마족의 왕
1020	魔界之焰	마계의 불꽃
1021	邪王炎杀	사왕염살
1022	魔界盗贼	마계 도적
1023	妖狐转生	요호의 환생
1024	前世之力	전생의 힘
1025	力·80%	파워 80%
1026	力·100%	파워 100%
1027	魔神使	마신의 종복
1028	魔王化身	마왕의 화신
1029	死灵法师	엘더 리치
1030	死之统治者	오버로드
1031	血族	혈족
1032	吸血鬼	뱀파이어
1033	真祖	진조
1034	护卫魔骑	언홀리 나이트
1035	暗黑骑士	다크 나이트
1036	魔晶浪客	마수정의 낭인
1037	邪神之翼	사신의 날개
1038	邪术师	사술사
1039	邪灵	사령
1040	邪神	사신
1041	影妖	레이더
1042	月影魔使	달그림자의 마술사
1043	循梦者	꿈을 쫓는 자
1044	魔剑使者	데몬 스워드
1045	魔剑素体	마검의 클론
1046	终极素体	궁극의 클론
1047	夷灭者	섬멸자
1048	全世之坏灭	속세의 종언
1049	暗之子	어둠의 부산물
1050	混沌裂影	혼돈의 그림자
1051	混沌代行者	혼돈의 대행자
1052	黑暗画师	어둠의 화가
1053	断末魔之主	단말마의 주인
1054	宵暗之女	옅은 어둠의 여자
1055	辉黯使者	빛과 어둠의 사자
1056	魔域源核	마역 코어
1057	魔能机器	마력 메카
1058	死灵之械	데스 메카닉
1059	魔剑精灵	마검의 정령
1060	魔剑具象	알하자드 형상
1061	死灵唤师	사령 소환사
1062	死灵君王	사령의 군왕
1063	魔装鬼	마장귀
1064	黎之魔王	그렌델
1065	深渊使徒	심연의 사도
1066	渊狱召现者	지옥 소환자
1067	深渊之影	심연의 그림자
1068	黯蚀凶源	검은 침식의 근원
1069	终焉之神降	종말 신의 강림
1070	白鬃勇者	흰 갈기의 용사
1071	月狼首领	월랑 두목
1072	白狼王	백랑 왕
1073	原初造物	원초의 피조물
1074	兽神之首	조아로드
1075	孤高的超王	고고한 초왕
1076	流浪者	방랑자
1077	涤恶使徒	멸악의 사도
1078	光暗主宰	빛과 어둠의 지배자
1079	破灭者	파멸자
1080	炎狱使徒	염옥의 사도
1081	炎狱掌控者	염옥의 지배자
1082	匣梦之堕	타락한 꿈 상자
1083	匣梦枭魔	상자 속 악마
1084	始祖妖精	태초의 엘프
1085	梦之统领	꿈의 지도자
1086	梦之女王	꿈의 여왕
1087	解放者	해방자
1088	碎刃战皇	전쟁의 황제
1089	锥心者	심장 관통자
1090	诡影邪姬	그림자의 마녀
1091	攫命惑心者	유혹의 살인자
1092	狂笑人偶	광소의 인형
1093	灾厄神偶	재앙의 인형
1094	复仇者	어벤져
1095	堕魂之刃	타락한 영혼의 검
1096	永夜之王	영원한 밤의 왕
1098	衰败祸根	쇠락의 화근
1099	毁灭之具象	파멸의 실체
1101	暗杀者	밴디트
1102	忍者	닌자
1103	突击者	라이더
1104	影	쉐도우
1105	大统帅	하이 마스터
1106	漆黑之牙	칠흑의 송곳니
1107	执行者	집행자
1108	漆黑魅影	다크 팬텀
1109	魔界忍者	마계 도적
1110	冰河忌子	빙하국의 저주받은 아이
1111	邪眼师	사안사
1112	异星浪人	크림조의 떠돌이
1113	异星贵族	크림조의 귀족
1114	异星王子	크림조의 왕자
1115	闪击骑士	쉐도우 나이트
1116	闪击统帅	쉐도우 나이트 마스터
1117	暗精灵	다크 엘프
1118	黑妖刺客	다크 엘프 암살자
1120	女忍	밴디트
1121	妙想忍者	묘상닌자
1122	幻神丸	겐진마루
1123	忍部首领	닌자두목
1124	幻王丸	겐오마루
1125	月影魔姬	달그림자의 몽마
1126	血梦之主	핏빛 서큐버스
1127	女妖邪	여요사
1128	妖邪剑使	요사의 검사
1129	星丽剑姬	성려검희
1130	掠袭游侠	스트라이크 레인저
1131	强袭斗将	포스 제네럴
1132	漫游者	방랑자
1133	独行客	외톨이 여객
1134	独行义侠	외톨이 협객
1135	反抗军	반란군
1136	抗暴统帅	복수의 지휘관
1137	远行者	여행자
1138	远行浪客	방랑 낭객
1139	精灵刺客	엘프 암살자
1140	暮影刺客	황혼의 암살자
1141	恶念容器	악념의 그릇
1142	恶欲裁罚	악한 욕망의 징벌자
1143	希望之种	희망의 씨앗
1144	希望之花	희망의 꽃
1145	诡毒处刑官	간악한 처형관
1146	暗楔女统帅	어둠의 여장군
1147	王国隐侍	왕국 비밀 조력자
1148	影锋暗将	음영의 장군
1149	街机浪客	아케이드 방랑자
1150	忍者	닌자
1151	马克	나이프
1152	忍者Ginzu	닌자 긴주
1153	小刀马克	맥 더 나이프
1154	暗夜幽刃	어둠의 인도자
1155	暗夜君王	어둠의 군주
1156	雾幻之刃	무환의 칼날
1157	复仇的叛忍	복수의 탈주닌자
1158	断命之天神	단명의 천신
1159	漂泊舞娘	떠돌이 무희
1160	诡袭者	습격자
1161	寒光影姬	서늘한 빛의 그림자
1162	媚视之刺	시선의 가시
1163	幽视暗裁者	어둠의 심판자
1164	丑角	어릿광대
1165	暗刃镰客	낫을 든 어둠의 방랑자
1167	惊魂假面	공포의 가면
1168	流浪保镖	떠돌이 경호원
1169	异界的战士	이계의 전사
1170	白牙斗将	백아 대장군
1171	辉刃义贼	칼날 의적
1172	圣辉游侠	성휘 레인저
1173	幻影秘盗	한섭 미실장
1174	万秘主宰	한섭 미실장
1175	残响之种	한섭 미실장
1176	守护之蕾	한섭 미실장
1177	孤高之花	한섭 미실장
1201	圣兽	홀리 비스트
1202	刻耳柏洛斯	켈베로스
1203	斯库拉	스킬라
1204	提亚马特	티아매트
1205	贝希摩斯	베히모스
1206	海德拉	히드라
1207	巴哈姆特	바하무트
1208	龙裔	용의 후예
1209	龙战士	드래곤 파이터
1210	龙族统帅	드래곤 제네럴
1211	龙之子	용의 아이
1212	龙胤继承者	용의 계승자
1213	灵龙转生使	정령용의 환생
1215	原初之龙	원시의 용
1216	金息幻龙	금빛 숨결의 용
1217	佑世真龙	세계 구원의 용
1218	龙力继承者	용력 계승자
1219	炎龙王之裔	염룡왕의 후예
20201	电玩少年	게임 보이
20202	队长	캡틴
20203	婴儿	베이비
20204	突击队长	캡틴 코만도
20205	天才婴儿	베이비 헤드
20206	海潮之遗	파도의 유물
20207	礁岸斗士	절벽의 투사
20208	海礁统帅	암초 통솔자
20209	见习仆役	견습 시종
20210	蔷薇侍者	로즈 메이드
20211	小恶魔女仆	소악마 서번트
20212	封锁者	봉쇄자
20213	再起者	재기자
20214	复兴之剑	부흥의 검
20215	剑术导师	검술 현자
20216	神剑士	신검사
20217	匡正之剑	시정의 검
20218	女王亲卫	여왕의 친위병
20219	荣光宰相	영광의 재상
20220	S级魔导士	S급 마도사
20221	妖精女王	요정 여왕
20222	第七任会长	7대 마스터
20223	铁腕领主	철완 영주
20224	重刃皇女	무쇠검의 황녀
20225	无冕帝皇	무관의 제왕
20226	兽语者	비스트 테이머
20227	驭龙鞭刃	드래곤 테이머
20228	荒原兽主	황야의 테이머
20230	斗剑少年	검투 소년
20231	破枷勇者	속박에서 벗어난 용사
20232	圣辉王子	성휘 왕자
20233	影子女士	한섭 미실장
20234	狩魂影刃	한섭 미실장
20235	寂夜影主	한섭 미실장
20236	异时剑客	한섭 미실장
20237	剑骸斗士	한섭 미실장
20238	剑骸使者	한섭 미실장
20239	独行利刃	한섭 미실장
20240	圣园学员	한섭 미실장
20241	逆命剑姬	한섭 미실장
20242	绝命天使	한섭 미실장
20244	天空界神族	한섭 미실장
20245	阿修罗神军	한섭 미실장
20246	夜叉王	한섭 미실장
20247	天空界神族	한섭 미실장
20301	逆理者	이치의 반역자
20302	定衡者	균형 정립자
20303	旅时魔骑	한섭 미실장
20304	掠界狂影	한섭 미실장
20305	岩铠战兽	한섭 미실장
20306	千峰怒神	한섭 미실장
20701	年轻的炼金术士	젊은 연금술사
20702	奇想炼金士	기발한 연금술사
20703	大炼金术士	대 연금술사
20704	圣园学员	성원 학도
20705	复兴使徒	부흥의 사도
20706	辉光天使	휘광 천사
20708	风驭术士	한섭 미실장
20709	罡风御主	한섭 미실장
20710	见习学者	한섭 미실장
20711	资深学者	한섭 미실장
20712	比拉德大导师	한섭 미실장
20713	金牌销售	한섭 미실장
20714	理财传说	한섭 미실장
20715	魔剑容器	한섭 미실장
20716	魔剑使者	한섭 미실장
20717	魔剑主宰	한섭 미실장
20801	辉耀神眷使	찬란한 빛의 전령사
20802	始祖妖精	태초의 엘프
20803	星之圣者	별의 세인트
20804	星之女王	별의 여왕
20805	幸运星	행운의 별
20806	神眷者	신의 아이
20807	通灵巫女	영혼의 무녀
20808	神运圣女	천운의 성녀
20809	自然学者	자연 학자
20810	自然共鸣者	자연과 공명하는 자
20812	星舞者	별의 무희
20813	幻梦舞姬	환상의 무희
20814	灭龙魔导士	멸룡 마도사
20815	武者	무사
20816	疾影斗焰	불꽃의 격투
20817	炽天之阳	눈부신 태양
20818	元素巫祭	원소 제사장
20819	万灵使者	만령 사자
20820	天国术师	천국 술사
20821	弑神天使	갓 킬러 천사
20822	听风者	한섭 미실장
20823	祈风圣使	한섭 미실장
20824	山罡向导	한섭 미실장
20825	投资新手	한섭 미실장
20826	操盘达人	한섭 미실장
20827	天使投资人	한섭 미실장
20828	天空界神族	한섭 미실장
20829	修罗王	한섭 미실장
20830	梵天继承者	한섭 미실장
201001	临渊者	심연의 인도자
201002	魔渊统领	마계의 지도자
201003	魔渊主宰	마계의 주인
201004	无厌之火	탐욕의 화염
201005	噬界狂炎	잠식의 광염
201006	唤灵者	영혼 소환사
201007	战魄斗士	전혼 투사
201008	凝魂萨满	혼령 주술사
201009	血手仔熊	한섭 미실장
201010	山林守望	한섭 미실장
201011	森罗霸主	한섭 미실장
201012	赤色战栗	한섭 미실장
201013	暗怖骑士	한섭 미실장
201014	绝末魔神	한섭 미실장
201015	颂暗使徒	한섭 미실장
201016	黑暗天使	한섭 미실장
201017	暗之神剑士	한섭 미실장
201018	混沌帝王	한섭 미실장
201019	唤魔剑使	한섭 미실장
201020	堕夜剑魔	한섭 미실장
